TimeStamp,srcIp,dstIp,srcPort,dstPort,result
2023-07-07 19:32:04.577464,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,36195,53,BENIGN
2023-07-07 19:32:04.577767,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,55731,53,BENIGN
2023-07-07 19:32:04.616514,8.8.8.8,192.168.43.77,53,40506,BENIGN
2023-07-07 19:32:04.617239,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,36195,BENIGN
2023-07-07 19:32:04.618478,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,55731,BENIGN
2023-07-07 19:32:04.621921,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2620:1ec:c11::200,39954,443,BENIGN
2023-07-07 19:32:04.625123,8.8.8.8,192.168.43.77,53,40327,BENIGN
2023-07-07 19:32:04.671483,2620:1ec:c11::200,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,39954,BENIGN
2023-07-07 19:32:05.600540,192.168.43.77,8.8.8.8,57065,53,BENIGN
2023-07-07 19:32:05.600854,192.168.43.77,8.8.8.8,42492,53,BENIGN
2023-07-07 19:32:05.601143,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,57970,53,BENIGN
2023-07-07 19:32:05.601326,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,34612,53,BENIGN
2023-07-07 19:32:05.792310,8.8.8.8,192.168.43.77,53,57065,BENIGN
2023-07-07 19:32:05.792596,8.8.8.8,192.168.43.77,53,42492,BENIGN
2023-07-07 19:32:05.793269,192.168.43.77,8.36.41.160,55888,443,BENIGN
2023-07-07 19:32:05.841876,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,57970,BENIGN
2023-07-07 19:32:05.845570,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,34612,BENIGN
2023-07-07 19:32:06.044053,192.168.43.77,8.36.41.160,55904,443,BENIGN
2023-07-07 19:32:06.141532,8.36.41.160,192.168.43.77,443,55888,BENIGN
2023-07-07 19:32:06.408082,8.36.41.160,192.168.43.77,443,55904,BENIGN
2023-07-07 19:32:07.808066,192.168.43.77,8.8.8.8,55557,53,BENIGN
2023-07-07 19:32:07.808179,192.168.43.77,8.8.8.8,56627,53,BENIGN
2023-07-07 19:32:07.808276,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,36795,53,BENIGN
2023-07-07 19:32:07.808344,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,59085,53,BENIGN
2023-07-07 19:32:07.812681,192.168.43.77,8.8.8.8,57572,53,BENIGN
2023-07-07 19:32:07.812786,192.168.43.77,8.8.8.8,37683,53,BENIGN
2023-07-07 19:32:07.812867,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,46323,53,BENIGN
2023-07-07 19:32:07.812925,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,54964,53,BENIGN
2023-07-07 19:32:07.861130,8.8.8.8,192.168.43.77,53,57572,BENIGN
2023-07-07 19:32:07.862342,8.8.8.8,192.168.43.77,53,56627,BENIGN
2023-07-07 19:32:07.862342,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,54964,BENIGN
2023-07-07 19:32:07.862343,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,46323,BENIGN
2023-07-07 19:32:07.863376,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:814::2008,47638,443,BENIGN
2023-07-07 19:32:07.875079,192.168.43.77,8.8.8.8,50017,53,BENIGN
2023-07-07 19:32:07.875161,192.168.43.77,8.8.8.8,43278,53,BENIGN
2023-07-07 19:32:07.875269,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,36798,53,BENIGN
2023-07-07 19:32:07.875323,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,56609,53,BENIGN
2023-07-07 19:32:07.881482,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:814::2008,47650,443,BENIGN
2023-07-07 19:32:07.903361,2404:6800:4002:814::2008,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,47638,BENIGN
2023-07-07 19:32:07.909223,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,36795,BENIGN
2023-07-07 19:32:07.914445,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,59085,BENIGN
2023-07-07 19:32:07.915249,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,36798,BENIGN
2023-07-07 19:32:07.916683,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53910,443,BENIGN
2023-07-07 19:32:07.917008,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53922,443,BENIGN
2023-07-07 19:32:07.917220,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53928,443,BENIGN
2023-07-07 19:32:07.917470,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53938,443,BENIGN
2023-07-07 19:32:07.917762,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53950,443,BENIGN
2023-07-07 19:32:07.918063,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,53954,443,BENIGN
2023-07-07 19:32:07.922595,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,56609,BENIGN
2023-07-07 19:32:07.923238,2404:6800:4002:814::2008,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,47650,BENIGN
2023-07-07 19:32:07.923239,8.8.8.8,192.168.43.77,53,50017,BENIGN
2023-07-07 19:32:07.923529,8.8.8.8,192.168.43.77,53,43278,BENIGN
2023-07-07 19:32:07.933055,192.168.43.77,192.0.76.3,36386,443,BENIGN
2023-07-07 19:32:07.949628,8.8.8.8,192.168.43.77,53,37683,BENIGN
2023-07-07 19:32:07.967905,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53928,BENIGN
2023-07-07 19:32:07.967905,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53954,BENIGN
2023-07-07 19:32:07.968777,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53922,BENIGN
2023-07-07 19:32:07.985880,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53938,BENIGN
2023-07-07 19:32:07.985886,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53950,BENIGN
2023-07-07 19:32:07.985934,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,53910,BENIGN
2023-07-07 19:32:07.997323,192.0.76.3,192.168.43.77,443,36386,BENIGN
2023-07-07 19:32:08.002797,fe80::dc63:a5ff:fe47:d890,fe80::21f4:4bb6:b743:5c7,443,55888,BENIGN
2023-07-07 19:32:08.002897,fe80::21f4:4bb6:b743:5c7,fe80::dc63:a5ff:fe47:d890,443,55888,BENIGN
2023-07-07 19:32:08.004525,8.8.8.8,192.168.43.77,53,55557,BENIGN
2023-07-07 19:32:08.109019,192.168.43.77,8.8.8.8,49745,53,BENIGN
2023-07-07 19:32:08.109311,192.168.43.77,8.8.8.8,50084,53,BENIGN
